Date,Product,Region,Quantity,Price,Revenue
2025-03-02,Keyboard,Pune,8,1500,12000
2025-03-28,Mouse,Delhi,3,800,2400
2025-04-27,Headphones,Delhi,8,3000,24000
2025-01-03,Keyboard,Bangalore,8,1500,12000
2025-04-18,Mouse,Mumbai,8,800,6400
2025-02-02,Mobile,Bangalore,5,25000,125000
2025-04-18,Keyboard,Mumbai,6,1500,9000
2025-04-18,Laptop,Pune,3,55000,165000
2025-01-03,Keyboard,Bangalore,9,1500,13500
2025-01-21,Mouse,Delhi,7,800,5600
2025-01-04,Laptop,Delhi,2,55000,110000
2025-01-09,Laptop,Bangalore,2,55000,110000
2025-03-25,Mobile,Pune,2,25000,50000
2025-02-13,Keyboard,Delhi,7,1500,10500
2025-03-19,Mouse,Bangalore,3,800,2400
2025-04-14,Laptop,Bangalore,2,55000,110000
2025-02-23,Keyboard,Mumbai,6,1500,9000
2025-04-03,Mobile,Bangalore,6,25000,150000
2025-03-15,Mobile,Mumbai,2,25000,50000
2025-03-19,Keyboard,Mumbai,8,1500,12000
2025-03-26,Keyboard,Pune,8,1500,12000
2025-01-24,Mouse,Mumbai,5,800,4000
2025-01-29,Mobile,Pune,9,25000,225000
2025-03-12,Mouse,Pune,9,800,7200
2025-04-18,Laptop,Bangalore,1,55000,55000
2025-01-08,Headphones,Delhi,1,3000,3000
2025-01-05,Headphones,Delhi,1,3000,3000
2025-01-28,Mobile,Delhi,9,25000,225000
2025-02-02,Laptop,Bangalore,2,55000,110000
2025-03-27,Mouse,Delhi,8,800,6400
2025-04-09,Headphones,Delhi,1,3000,3000
2025-01-01,Mouse,Delhi,3,800,2400
2025-01-14,Mouse,Mumbai,7,800,5600
2025-03-04,Headphones,Pune,3,3000,9000
2025-04-04,Laptop,Bangalore,4,55000,220000
2025-04-19,Mouse,Delhi,7,800,5600
2025-01-13,Headphones,Pune,4,3000,12000
2025-01-28,Headphones,Delhi,6,3000,18000
2025-04-27,Mobile,Mumbai,9,25000,225000
2025-01-30,Keyboard,Bangalore,4,1500,6000
2025-04-02,Headphones,Bangalore,7,3000,21000
2025-01-01,Laptop,Delhi,1,55000,55000
2025-04-26,Laptop,Delhi,9,55000,495000
2025-04-13,Mouse,Pune,3,800,2400
2025-04-07,Headphones,Pune,5,3000,15000
2025-03-20,Headphones,Mumbai,8,3000,24000
2025-04-15,Headphones,Mumbai,8,3000,24000
2025-02-27,Keyboard,Pune,1,1500,1500
2025-01-02,Keyboard,Bangalore,7,1500,10500
2025-04-23,Headphones,Pune,5,3000,15000
2025-01-02,Laptop,Delhi,1,55000,55000
2025-03-28,Mobile,Bangalore,6,25000,150000
2025-01-01,Mouse,Bangalore,1,800,800
2025-02-22,Headphones,Mumbai,2,3000,6000
2025-02-01,Keyboard,Mumbai,6,1500,9000
2025-01-17,Keyboard,Delhi,8,1500,12000
2025-03-11,Mouse,Bangalore,2,800,1600
2025-03-14,Headphones,Delhi,1,3000,3000
2025-03-21,Keyboard,Delhi,6,1500,9000
2025-02-28,Mouse,Delhi,4,800,3200
2025-01-19,Keyboard,Delhi,3,1500,4500
2025-02-21,Keyboard,Bangalore,7,1500,10500
2025-02-08,Laptop,Pune,8,55000,440000
2025-01-11,Mobile,Bangalore,1,25000,25000
2025-02-19,Keyboard,Pune,9,1500,13500
2025-01-16,Mobile,Delhi,7,25000,175000
2025-04-26,Mobile,Bangalore,9,25000,225000
2025-01-01,Keyboard,Pune,2,1500,3000
2025-02-01,Keyboard,Pune,5,1500,7500
2025-04-15,Headphones,Delhi,9,3000,27000
